 Mass density    Pressure    Energy density
 2.537253e+06  9.417499e+01   2.537424e+06 
 2.638540e+06  9.971435e+01   2.638722e+06 
 2.743871e+06  1.055749e+02   2.744065e+06 
 2.853407e+06  1.117753e+02   2.853613e+06 
 2.967316e+06  1.183353e+02   2.967534e+06 
 3.085772e+06  1.252756e+02   3.086003e+06 
 3.208956e+06  1.326183e+02   3.209202e+06 
 3.337058e+06  1.403869e+02   3.337319e+06 
 3.470274e+06  1.486059e+02   3.470552e+06 
 3.608808e+06  1.573015e+02   3.609103e+06 
 3.752872e+06  1.665013e+02   3.753185e+06 
 3.902687e+06  1.762346e+02   3.903020e+06 
 4.058483e+06  1.865323e+02   4.058836e+06 
 4.220499e+06  1.974271e+02   4.220873e+06 
 4.388982e+06  2.089537e+02   4.389379e+06 
 4.564191e+06  2.211486e+02   4.564613e+06 
 4.746394e+06  2.340507e+02   4.746842e+06 
 4.935871e+06  2.477009e+02   4.936346e+06 
 5.132911e+06  2.621427e+02   5.133416e+06 
 5.337818e+06  2.774219e+02   5.338354e+06 
 5.550905e+06  2.935870e+02   5.551473e+06 
 5.772498e+06  3.106895e+02   5.773101e+06 
 6.002937e+06  3.287837e+02   6.003577e+06 
 6.242575e+06  3.479272e+02   6.243254e+06 
 6.491780e+06  3.681806e+02   6.492500e+06 
 6.750932e+06  3.896086e+02   6.751697e+06 
 7.020431e+06  4.122790e+02   7.021242e+06 
 7.300688e+06  4.362640e+02   7.301548e+06 
 7.592132e+06  4.616398e+02   7.593045e+06 
 7.895211e+06  4.884870e+02   7.896179e+06 
 8.210390e+06  5.168911e+02   8.211416e+06 
 8.538150e+06  5.469421e+02   8.539238e+06 
 8.878994e+06  5.787357e+02   8.880149e+06 
 9.233445e+06  6.123729e+02   9.234669e+06 
 9.602046e+06  6.479606e+02   9.603344e+06 
 9.985361e+06  6.856119e+02   9.986738e+06 
 1.038398e+07  7.254464e+02   1.038544e+07 
 1.079851e+07  7.675908e+02   1.080006e+07 
 1.122959e+07  8.121790e+02   1.123123e+07 
 1.167787e+07  8.593527e+02   1.167961e+07 
 1.214406e+07  9.092618e+02   1.214590e+07 
 1.262885e+07  9.620649e+02   1.263080e+07 
 1.313299e+07  1.017930e+03   1.313507e+07 
 1.365727e+07  1.077034e+03   1.365946e+07 
 1.420247e+07  1.139566e+03   1.420480e+07 
 1.476943e+07  1.205724e+03   1.477190e+07 
 1.535903e+07  1.275717e+03   1.536165e+07 
 1.597216e+07  1.349770e+03   1.597494e+07 
 1.660978e+07  1.428116e+03   1.661272e+07 
 1.727284e+07  1.511006e+03   1.727596e+07 
 1.796238e+07  1.598702e+03   1.796568e+07 
 1.867944e+07  1.691483e+03   1.868294e+07 
 1.942512e+07  1.789644e+03   1.942883e+07 
 2.020058e+07  1.893497e+03   2.020451e+07 
 2.100699e+07  2.003373e+03   2.101115e+07 
 2.184559e+07  2.119619e+03   2.185000e+07 
 2.271767e+07  2.242606e+03   2.272235e+07 
 2.362456e+07  2.372725e+03   2.362952e+07 
 2.456766e+07  2.510389e+03   2.457291e+07 
 2.554840e+07  2.656035e+03   2.555397e+07 
 2.656830e+07  2.810127e+03   2.657420e+07 
 2.762891e+07  2.973154e+03   2.763516e+07 
 2.873186e+07  3.145635e+03   2.873848e+07 
 2.987884e+07  3.328116e+03   2.988585e+07 
 3.107161e+07  3.521180e+03   3.107904e+07 
 3.231199e+07  3.725438e+03   3.231986e+07 
 3.360189e+07  3.941541e+03   3.361023e+07 
